first_name,last_name,gender,email,cell,age,state,pokemon
Sandro,Lopes,male,sandro.lopes@example.com,(94) 0559-7362,66,Pará,fennekin
Norival,Campos,male,norival.campos@example.com,(53) 8620-6046,38,Rio Grande do Sul,torchic
Cláudio,da Cunha,male,claudio.dacunha@example.com,(95) 4806-0600,53,Roraima,litten
Mendo,da Rosa,male,mendo.darosa@example.com,(31) 9642-2811,29,Minas Gerais,torchic
Zerá,Campos,male,zera.campos@example.com,(27) 5758-2945,62,Espírito Santo,tepig
Celto,Nunes,male,celto.nunes@example.com,(42) 7587-5070,52,Paraná,chimchar
Nabor,Fernandes,male,nabor.fernandes@example.com,(67) 4455-9534,27,Mato Grosso do Sul,scorbunny
Gerberto,Farias,male,gerberto.farias@example.com,(33) 8514-2553,64,Minas Gerais,torchic
Anastácio,Costa,male,anastacio.costa@example.com,(49) 3452-0133,41,Santa Catarina,chimchar
Axel,Barros,male,axel.barros@example.com,(33) 0546-6652,76,Minas Gerais,litten
Vasco,Nogueira,male,vasco.nogueira@example.com,(81) 0120-7379,33,Pernambuco,litten
Armindo,Farias,male,armindo.farias@example.com,(82) 3887-5785,46,Alagoas,torchic
Amorim,Lopes,male,amorim.lopes@example.com,(24) 4844-2860,50,Rio de Janeiro,chimchar
