first_name,last_name,gender,email,cell,age,state,pokemon
Jóni,Carvalho,male,joni.carvalho@example.com,(33) 9771-5118,55,Minas Gerais,snivy
Quaresma,Rezende,male,quaresma.rezende@example.com,(33) 3777-7255,61,Minas Gerais,turtwig
Amândio,Almeida,male,amandio.almeida@example.com,(21) 7308-1734,69,Rio de Janeiro,bulbasaur
Zacarias,Carvalho,male,zacarias.carvalho@example.com,(85) 9402-2207,27,Ceará,chespin
Lúcio,Nunes,male,lucio.nunes@example.com,(34) 1856-1761,75,Minas Gerais,turtwig
Cristóvão,Pinto,male,cristovao.pinto@example.com,(15) 4466-0097,41,São Paulo,chespin
Evaldo,Melo,male,evaldo.melo@example.com,(24) 8561-3779,62,Rio de Janeiro,chespin
Ragendra,Farias,male,ragendra.farias@example.com,(82) 7817-6361,25,Alagoas,turtwig
Lito,Silva,male,lito.silva@example.com,(93) 1655-0422,69,Pará,treecko
Ademir,Fogaça,male,ademir.fogaca@example.com,(24) 8562-5990,76,Rio de Janeiro,bulbasaur
Nói,da Costa,male,noi.dacosta@example.com,(45) 8335-5608,68,Paraná,chikorita
Apolónio,Martins,male,apolonio.martins@example.com,(67) 9266-3267,55,Mato Grosso do Sul,treecko
Mis,Ramos,male,mis.ramos@example.com,(93) 5518-1626,26,Pará,turtwig
Eustácio,Gonçalves,male,eustacio.goncalves@example.com,(42) 3931-5424,27,Paraná,snivy
Miguel,Cavalcanti,male,miguel.cavalcanti@example.com,(17) 3182-7677,46,São Paulo,bulbasaur
Austrelino,Ribeiro,male,austrelino.ribeiro@example.com,(61) 8474-6118,72,Distrito Federal,snivy
Torquato,Duarte,male,torquato.duarte@example.com,(47) 4061-9782,58,Santa Catarina,snivy
Franklino,Ferreira,male,franklino.ferreira@example.com,(37) 3395-0653,54,Minas Gerais,grookey
Haraldo,Martins,male,haraldo.martins@example.com,(14) 1507-8184,38,São Paulo,snivy
Cipriano,da Costa,male,cipriano.dacosta@example.com,(82) 0238-6984,75,Alagoas,turtwig
Idário,Ramos,male,idario.ramos@example.com,(54) 6999-1867,77,Rio Grande do Sul,bulbasaur
Soeiro,Rodrigues,male,soeiro.rodrigues@example.com,(43) 4222-4416,48,Paraná,chespin
Sadraque,Lopes,male,sadraque.lopes@example.com,(82) 5630-3905,77,Alagoas,bulbasaur
Teotónio,Oliveira,male,teotonio.oliveira@example.com,(87) 4102-7561,36,Pernambuco,chikorita
Abraim,Cavalcanti,male,abraim.cavalcanti@example.com,(84) 5583-4416,56,Rio Grande do Norte,turtwig
Airton,Viana,male,airton.viana@example.com,(13) 1109-2379,40,São Paulo,snivy
Guadalberto,Duarte,male,guadalberto.duarte@example.com,(74) 3994-8224,49,Bahia,rowlet
Bassarme,Pires,male,bassarme.pires@example.com,(32) 7230-3254,38,Minas Gerais,snivy
Adelmo,Caldeira,male,adelmo.caldeira@example.com,(92) 2465-1238,41,Amazonas,bulbasaur
Levi,da Conceição,male,levi.daconceicao@example.com,(62) 5802-4934,65,Goiás,rowlet
Ítalo,da Cruz,male,italo.dacruz@example.com,(64) 1258-3284,73,Goiás,grookey
Benício,Sales,male,benicio.sales@example.com,(79) 9398-5867,30,Sergipe,chespin
Guarani,Ferreira,male,guarani.ferreira@example.com,(55) 4106-6468,67,Rio Grande do Sul,snivy
Benício,Fernandes,male,benicio.fernandes@example.com,(49) 0266-6149,32,Santa Catarina,bulbasaur
Iago,Santos,male,iago.santos@example.com,(22) 3198-2929,36,Rio de Janeiro,chikorita
Adosindo,Nunes,male,adosindo.nunes@example.com,(28) 2196-1984,54,Espírito Santo,snivy
Alcibíades,Ferreira,male,alcibiades.ferreira@example.com,(94) 1974-4842,53,Pará,chespin
Hérman,Ribeiro,male,herman.ribeiro@example.com,(91) 4076-8879,27,Pará,rowlet
