first_name,last_name,gender,email,cell,age,state,pokemon
Altino,Pereira,male,altino.pereira@example.com,(27) 4820-1351,68,Espírito Santo,mudkip
Jadir,Almeida,male,jadir.almeida@example.com,(15) 3028-1505,42,São Paulo,mudkip
Erique,Peixoto,male,erique.peixoto@example.com,(31) 1464-2628,53,Minas Gerais,mudkip
Ângelo,Santos,male,angelo.santos@example.com,(88) 0140-4020,75,Ceará,squirtle
Celestino,Melo,male,celestino.melo@example.com,(86) 3812-9004,41,Piauí,sobble
Eurico,da Costa,male,eurico.dacosta@example.com,(73) 1726-0351,36,Bahia,squirtle
Santiago,Monteiro,male,santiago.monteiro@example.com,(91) 9187-9747,47,Pará,squirtle
Délcio,Cardoso,male,delcio.cardoso@example.com,(86) 4536-5036,68,Piauí,oshawott
Patrício,Farias,male,patricio.farias@example.com,(99) 5924-2344,53,Maranhão,piplup
Xenócrates,da Cunha,male,xenocrates.dacunha@example.com,(53) 7436-6280,42,Rio Grande do Sul,piplup
Evaristo,Freitas,male,evaristo.freitas@example.com,(21) 5454-2907,61,Rio de Janeiro,mudkip
Egas,Monteiro,male,egas.monteiro@example.com,(43) 3573-0562,68,Paraná,piplup
Áquila,Barbosa,male,aquila.barbosa@example.com,(75) 1071-0297,35,Bahia,squirtle
Bernardim,da Luz,male,bernardim.daluz@example.com,(75) 2988-0747,51,Bahia,piplup
Adonias,Pereira,male,adonias.pereira@example.com,(98) 2131-9228,46,Maranhão,piplup
Moisés,da Rosa,male,moises.darosa@example.com,(83) 2371-2689,69,Paraíba,totodile
Íngue,da Cunha,male,ingue.dacunha@example.com,(54) 6759-1341,46,Rio Grande do Sul,totodile
Arine,Pereira,male,arine.pereira@example.com,(84) 4003-1380,68,Rio Grande do Norte,totodile
Cosme,Nunes,male,cosme.nunes@example.com,(44) 6462-4967,68,Paraná,mudkip
Maurício,Farias,male,mauricio.farias@example.com,(51) 9083-2633,71,Rio Grande do Sul,totodile
Neutel,da Cruz,male,neutel.dacruz@example.com,(93) 9308-9659,69,Pará,totodile
Fausto,Pires,male,fausto.pires@example.com,(28) 5902-8450,73,Espírito Santo,oshawott
Irineu,Porto,male,irineu.porto@example.com,(67) 2574-0021,74,Mato Grosso do Sul,piplup
Alito,da Conceição,male,alito.daconceicao@example.com,(22) 0493-8920,44,Rio de Janeiro,piplup
Ítalo,Silveira,male,italo.silveira@example.com,(55) 0755-8892,71,Rio Grande do Sul,froakie
Honório,Nogueira,male,honorio.nogueira@example.com,(15) 4335-2536,67,São Paulo,popplio
Xavier,Sales,male,xavier.sales@example.com,(21) 3477-5702,61,Rio de Janeiro,piplup
Silas,Duarte,male,silas.duarte@example.com,(96) 7782-6296,52,Amapá,totodile
Joel,Melo,male,joel.melo@example.com,(96) 7909-5666,45,Amapá,oshawott
Noel,Nogueira,male,noel.nogueira@example.com,(93) 3247-7880,46,Pará,totodile
Roli,Barros,male,roli.barros@example.com,(65) 3690-7650,54,Mato Grosso,sobble
Dúnio,Pires,male,dunio.pires@example.com,(65) 1383-0897,66,Mato Grosso,totodile
